"","file","branch","model","predictors","accuracy"
"80",0,3,"QDA","ip",0.844809350044952
"81",0,3,"SVM","ip",0.849225236659792
"82",0,3,"NaiveBayes","ip",0.849225236659792
"83",0,3,"Logistic Regression","ip+app",0.849225236659792
"84",0,3,"LDA","ip+app",0.849225236659792
"85",0,3,"QDA","ip+app",0.84533819874134
"86",0,3,"SVM","ip+app",0.849225236659792
"87",0,3,"NaiveBayes","ip+app",0.849225236659792
"88",0,3,"Logistic Regression","ip+app+os",0.849225236659792
"89",0,3,"LDA","ip+app+os",0.849225236659792
"90",0,3,"QDA","ip+app+os",0.838463165688297
"91",0,3,"SVM","ip+app+os",0.849225236659792
"92",0,3,"NaiveBayes","ip+app+os",0.849225236659792
"93",0,3,"Logistic Regression","ip+app+os+hour",0.849225236659792
"94",0,3,"LDA","ip+app+os+hour",0.849225236659792
"95",0,3,"QDA","ip+app+os+hour",0.838040086731186
"96",0,3,"SVM","ip+app+os+hour",0.849225236659792
"97",0,3,"NaiveBayes","ip+app+os+hour",0.849225236659792
"98",0,3,"Logistic Regression","ip+app+os+hour+ip_app",0.849225236659792
"99",0,3,"LDA","ip+app+os+hour+ip_app",0.849225236659792
"100",0,3,"QDA","ip+app+os+hour+ip_app",0.803744248770427
"101",0,3,"SVM","ip+app+os+hour+ip_app",0.849225236659792
"102",0,3,"NaiveBayes","ip+app+os+hour+ip_app",0.849225236659792
"103",0,3,"Logistic Regression","ip+app+os+channel+hour+channel_ip",0.849225236659792
"104",0,3,"LDA","ip+app+os+channel+hour+channel_ip",0.849225236659792
"105",0,3,"QDA","ip+app+os+channel+hour+channel_ip",0.813871701306256
"106",0,3,"SVM","ip+app+os+channel+hour+channel_ip",0.849225236659792
"107",0,3,"NaiveBayes","ip+app+os+channel+hour+channel_ip",0.849225236659792
"108",0,3,"Logistic Regression","ip+app+os+channel+hour+ip_app+channel_ip",0.849225236659792
"109",0,3,"LDA","ip+app+os+channel+hour+ip_app+channel_ip",0.849225236659792
"110",0,3,"QDA","ip+app+os+channel+hour+ip_app+channel_ip",0.792585541276641
"111",0,3,"SVM","ip+app+os+channel+hour+ip_app+channel_ip",0.849225236659792
"112",0,3,"NaiveBayes","ip+app+os+channel+hour+ip_app+channel_ip",0.849225236659792
"113",0,3,"Logistic Regression","ip+app+device+os+channel+hour+ip_app+channel_ip",0.849225236659792
"114",0,3,"LDA","ip+app+device+os+channel+hour+ip_app+channel_ip",0.849225236659792
"115",0,3,"QDA","ip+app+device+os+channel+hour+ip_app+channel_ip",0.224284732138135
"116",0,3,"SVM","ip+app+device+os+channel+hour+ip_app+channel_ip",0.849225236659792
"117",0,3,"NaiveBayes","ip+app+device+os+channel+hour+ip_app+channel_ip",0.849225236659792
"118",0,4,"Logistic Regression","ip",0.986873728970235
"119",0,4,"LDA","ip",0.986873728970235
"120",0,4,"QDA","ip",0.986873728970235
"121",0,4,"SVM","ip",0.986873728970235
"122",0,4,"NaiveBayes","ip",0.0131262710297652
"123",0,4,"Logistic Regression","ip+channel",0.986873728970235
"124",0,4,"LDA","ip+channel",0.986873728970235
"125",0,4,"QDA","ip+channel",0.986873728970235
"126",0,4,"SVM","ip+channel",0.986873728970235
"127",0,4,"NaiveBayes","ip+channel",0.0131262710297652
"128",0,4,"Logistic Regression","ip+channel_app+channel_ip",0.986873728970235
"129",0,4,"LDA","ip+channel_app+channel_ip",0.986873728970235
"130",0,4,"QDA","ip+channel_app+channel_ip",0.985764466629691
"131",0,4,"SVM","ip+channel_app+channel_ip",0.986873728970235
"132",0,4,"NaiveBayes","ip+channel_app+channel_ip",0.0131262710297652
"133",0,4,"Logistic Regression","ip+device+channel+channel_ip_app",0.986873728970235
"134",0,4,"LDA","ip+device+channel+channel_ip_app",0.986873728970235
"135",0,4,"QDA","ip+device+channel+channel_ip_app",0.985117396931041
"136",0,4,"SVM","ip+device+channel+channel_ip_app",0.986873728970235
"137",0,4,"NaiveBayes","ip+device+channel+channel_ip_app",0.0131262710297652
"138",0,4,"Logistic Regression","ip+device+os+channel+channel_ip",0.986873728970235
"139",0,4,"LDA","ip+device+os+channel+channel_ip",0.986873728970235
"140",0,4,"QDA","ip+device+os+channel+channel_ip",0.976982806433722
"141",0,4,"SVM","ip+device+os+channel+channel_ip",0.986873728970235
"142",0,4,"NaiveBayes","ip+device+os+channel+channel_ip",0.0131262710297652
"143",0,4,"Logistic Regression","ip+device+os+channel+hour+channel_ip",0.986873728970235
"144",0,4,"LDA","ip+device+os+channel+hour+channel_ip",0.986873728970235
"145",0,4,"QDA","ip+device+os+channel+hour+channel_ip",0.978276945831022
"146",0,4,"SVM","ip+device+os+channel+hour+channel_ip",0.986873728970235
"147",0,4,"NaiveBayes","ip+device+os+channel+hour+channel_ip",0.0131262710297652
"148",0,5,"Logistic Regression","channel",0.823083585967952
"149",0,5,"LDA","channel",0.823300129926375
"150",0,5,"QDA","channel",0.823300129926375
"151",0,5,"SVM","channel",0.823083585967952
"152",0,5,"NaiveBayes","channel",0.812906019922044
"153",0,5,"Logistic Regression","channel+channel_ip_app",0.838458207016024
"154",0,5,"LDA","channel+channel_ip_app",0.851883932438285
"155",0,5,"QDA","channel+channel_ip_app",0.843222174101343
"156",0,5,"SVM","channel+channel_ip_app",0.834993503681247
"157",0,5,"NaiveBayes","channel+channel_ip_app",0.812906019922044
"158",0,5,"Logistic Regression","channel+channel_ip+channel_ip_app",0.845171069727155
"159",0,5,"LDA","channel+channel_ip+channel_ip_app",0.848852317020355
"160",0,5,"QDA","channel+channel_ip+channel_ip_app",0.838674750974448
"161",0,5,"SVM","channel+channel_ip+channel_ip_app",0.836076223473365
"162",0,5,"NaiveBayes","channel+channel_ip+channel_ip_app",0.812906019922044
"163",0,5,"Logistic Regression","channel+channel_app+channel_ip+channel_ip_app",0.852100476396708
"164",0,5,"LDA","channel+channel_app+channel_ip+channel_ip_app",0.85036812472932
"165",0,5,"QDA","channel+channel_app+channel_ip+channel_ip_app",0.841922910350801
"166",0,5,"SVM","channel+channel_app+channel_ip+channel_ip_app",0.851017756604591
"167",0,5,"NaiveBayes","channel+channel_app+channel_ip+channel_ip_app",0.812906019922044
"168",0,5,"Logistic Regression","app+channel+channel_app+channel_ip+channel_ip_app",0.855132091814638
"169",0,5,"LDA","app+channel+channel_app+channel_ip+channel_ip_app",0.851017756604591
"170",0,5,"QDA","app+channel+channel_app+channel_ip+channel_ip_app",0.845171069727155
"171",0,5,"SVM","app+channel+channel_app+channel_ip+channel_ip_app",0.851667388479861
"172",0,5,"NaiveBayes","app+channel+channel_app+channel_ip+channel_ip_app",0.812906019922044
"173",0,5,"Logistic Regression","app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.855348635773062
"174",0,5,"LDA","app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.85339974014725
"175",0,5,"QDA","app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.84733650931139
"176",0,5,"SVM","app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.856214811606756
"177",0,5,"NaiveBayes","app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.812906019922044
"178",0,5,"Logistic Regression","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.855781723689909
"179",0,5,"LDA","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.854265915980944
"180",0,5,"QDA","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.849718492854049
"181",0,5,"SVM","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.854699003897791
"182",0,5,"NaiveBayes","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.812906019922044
"183",0,5,"Logistic Regression","ip+app+channel+hour+ip_app+channel_app+channel_ip+channel_ip_app",0.854915547856215
"184",0,5,"LDA","ip+app+channel+hour+ip_app+channel_app+channel_ip+channel_ip_app",0.853832828064097
"185",0,5,"QDA","ip+app+channel+hour+ip_app+channel_app+channel_ip+channel_ip_app",0.849935036812473
"186",0,5,"SVM","ip+app+channel+hour+ip_app+channel_app+channel_ip+channel_ip_app",0.854049372022521
"187",0,5,"NaiveBayes","ip+app+channel+hour+ip_app+channel_app+channel_ip+channel_ip_app",0.812906019922044
"188",0,6,"Logistic Regression","ip",0.980628809365759
"189",0,6,"LDA","ip",0.980628809365759
"190",0,6,"QDA","ip",0.980628809365759
"191",0,6,"SVM","ip",0.980628809365759
"192",0,6,"NaiveBayes","ip",0.0193711906342405
"193",0,6,"Logistic Regression","app+ip_app",0.980508116589222
"194",0,6,"LDA","app+ip_app",0.977189065234446
"195",0,6,"QDA","app+ip_app",0.969585420312594
"196",0,6,"SVM","app+ip_app",0.980628809365759
"197",0,6,"NaiveBayes","app+ip_app",0.0193711906342405
"198",0,6,"Logistic Regression","app+channel+channel_ip_app",0.980568462977491
"199",0,6,"LDA","app+channel+channel_ip_app",0.978154607446744
"200",0,6,"QDA","app+channel+channel_ip_app",0.971395811960654
"201",0,6,"SVM","app+channel+channel_ip_app",0.980628809365759
"202",0,6,"NaiveBayes","app+channel+channel_ip_app",0.0193711906342405
"203",0,6,"Logistic Regression","app+channel+ip_app+channel_app",0.980508116589222
"204",0,6,"LDA","app+channel+ip_app+channel_app",0.977309758010983
"205",0,6,"QDA","app+channel+ip_app+channel_app",0.966145676181281
"206",0,6,"SVM","app+channel+ip_app+channel_app",0.980628809365759
"207",0,6,"NaiveBayes","app+channel+ip_app+channel_app",0.0193711906342405
"208",0,6,"Logistic Regression","app+device+channel+ip_app+channel_app",0.980568462977491
"209",0,6,"LDA","app+device+channel+ip_app+channel_app",0.976826986904834
"210",0,6,"QDA","app+device+channel+ip_app+channel_app",0.96481805563937
"211",0,6,"SVM","app+device+channel+ip_app+channel_app",0.980628809365759
"212",0,6,"NaiveBayes","app+device+channel+ip_app+channel_app",0.0193711906342405
"213",0,6,"Logistic Regression","app+device+channel+ip_app+channel_app+channel_ip_app",0.980508116589222
"214",0,6,"LDA","app+device+channel+ip_app+channel_app+channel_ip_app",0.97700802606964
"215",0,6,"QDA","app+device+channel+ip_app+channel_app+channel_ip_app",0.963430088709191
"216",0,6,"SVM","app+device+channel+ip_app+channel_app+channel_ip_app",0.980628809365759
"217",0,6,"NaiveBayes","app+device+channel+ip_app+channel_app+channel_ip_app",0.0193711906342405
"218",0,6,"Logistic Regression","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.980508116589222
"219",0,6,"LDA","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.977249411622714
"220",0,6,"QDA","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.961559350672862
"221",0,6,"SVM","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.980628809365759
"222",0,6,"NaiveBayes","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.0193711906342405
"223",0,6,"Logistic Regression","ip+app+device+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.980508116589222
"224",0,6,"LDA","ip+app+device+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.97652525496349
"225",0,6,"QDA","ip+app+device+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.960171383742683
"226",0,6,"SVM","ip+app+device+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.980628809365759
