"","branch","model","predictors","accuracy","TP","FN","FP","TN","accuracy_cMatrix"
"1",1,"Logistic Regression","ip+device+os+channel+channel_app+channel_ip+channel_ip_app",0.974321837432184,203259,4359,1013,574,0.974321837432184
"2",2,"QDA","app+device+ip_app",0.948992312487014,130,491,0,9005,0.948992312487014
"3",3,"Logistic Regression","ip",0.994326784614125,2416054,0,13785,0,0.994326784614125
"4",4,"Logistic Regression","ip",0.59764343243512,0,16186,0,24042,0.59764343243512
"5",5,"Logistic Regression","ip+app+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.938806277486064,254439,15765,877,875,0.938806277486064
"6",6,"Logistic Regression","ip",0.542989571263036,0,23664,0,28116,0.542989571263036
"7",7,"QDA","ip",0.783061335210194,51694,13954,841,1710,0.783061335210194
