"","file","branch","model","predictors","accuracy","TP","FN","FP","TN","accuracy_cMatrix"
"1",0,1,"Logistic Regression","channel_ip",0.828722412185266,2652,22,529,14,0.828722412185266
"2",0,1,"LDA","channel_ip",0.82996580665216,2619,55,492,51,0.82996580665216
"3",0,1,"QDA","channel_ip",0.828722412185266,2572,102,449,94,0.828722412185266
"4",0,1,"SVM","channel_ip",0.831209201119055,2674,0,543,0,0.831209201119055
"5",0,1,"NaiveBayes","channel_ip",0.828722412185266,2572,102,449,94,0.828722412185266
"6",0,1,"Logistic Regression","channel_ip+channel_ip_app",0.851725209822816,2629,45,432,111,0.851725209822816
"7",0,1,"LDA","channel_ip+channel_ip_app",0.848927572272303,2612,62,424,119,0.848927572272303
"8",0,1,"QDA","channel_ip+channel_ip_app",0.840223811004041,2565,109,405,138,0.840223811004041
"9",0,1,"SVM","channel_ip+channel_ip_app",0.852346907056264,2631,43,432,111,0.852346907056264
"10",0,1,"NaiveBayes","channel_ip+channel_ip_app",0.809449797948399,2481,193,420,123,0.809449797948399
"11",0,1,"Logistic Regression","os+channel_ip+channel_ip_app",0.851103512589369,2628,46,433,110,0.851103512589369
"12",0,1,"LDA","os+channel_ip+channel_ip_app",0.84861672365558,2611,63,424,119,0.84861672365558
"13",0,1,"QDA","os+channel_ip+channel_ip_app",0.824370531551135,2486,188,377,166,0.824370531551135
"14",0,1,"SVM","os+channel_ip+channel_ip_app",0.852346907056264,2631,43,432,111,0.852346907056264
"15",0,1,"NaiveBayes","os+channel_ip+channel_ip_app",0.788933789244638,2364,310,369,174,0.788933789244638
"16",0,1,"Logistic Regression","os+channel+channel_ip+channel_ip_app",0.851725209822816,2629,45,432,111,0.851725209822816
"17",0,1,"LDA","os+channel+channel_ip+channel_ip_app",0.848305875038856,2608,66,422,121,0.848305875038856
"18",0,1,"QDA","os+channel+channel_ip+channel_ip_app",0.81380167858253,2435,239,360,183,0.81380167858253
"19",0,1,"SVM","os+channel+channel_ip+channel_ip_app",0.852657755672987,2631,43,431,112,0.852657755672987
"20",0,1,"NaiveBayes","os+channel+channel_ip+channel_ip_app",0.76188995958968,2217,457,309,234,0.76188995958968
"21",0,1,"Logistic Regression","ip+os+channel+channel_ip+channel_ip_app",0.853590301523158,2629,45,426,117,0.853590301523158
"22",0,1,"LDA","ip+os+channel+channel_ip+channel_ip_app",0.851414361206093,2612,62,416,127,0.851414361206093
"23",0,1,"QDA","ip+os+channel+channel_ip+channel_ip_app",0.796705004662729,2337,337,317,226,0.796705004662729
"24",0,1,"SVM","ip+os+channel+channel_ip+channel_ip_app",0.852346907056264,2631,43,432,111,0.852346907056264
"25",0,1,"NaiveBayes","ip+os+channel+channel_ip+channel_ip_app",0.779608330742928,2284,390,319,224,0.779608330742928
"26",0,1,"Logistic Regression","ip+os+channel+channel_app+channel_ip+channel_ip_app",0.854211998756606,2629,45,424,119,0.854211998756606
"27",0,1,"LDA","ip+os+channel+channel_app+channel_ip+channel_ip_app",0.849549269505751,2608,66,418,125,0.849549269505751
"28",0,1,"QDA","ip+os+channel+channel_app+channel_ip+channel_ip_app",0.787690394777743,2301,373,310,233,0.787690394777743
"29",0,1,"SVM","ip+os+channel+channel_app+channel_ip+channel_ip_app",0.852346907056264,2630,44,431,112,0.852346907056264
"30",0,1,"NaiveBayes","ip+os+channel+channel_app+channel_ip+channel_ip_app",0.788622940627914,2314,360,320,223,0.788622940627914
"31",0,1,"Logistic Regression","ip+device+os+channel+channel_app+channel_ip+channel_ip_app",0.854833695990053,2628,46,421,122,0.854833695990053
"32",0,1,"LDA","ip+device+os+channel+channel_app+channel_ip+channel_ip_app",0.849860118122474,2609,65,418,125,0.849860118122474
"33",0,1,"QDA","ip+device+os+channel+channel_app+channel_ip+channel_ip_app",0.782716816910165,2269,405,294,249,0.782716816910165
"34",0,1,"SVM","ip+device+os+channel+channel_app+channel_ip+channel_ip_app",0.852346907056264,2630,44,431,112,0.852346907056264
"35",0,1,"NaiveBayes","ip+device+os+channel+channel_app+channel_ip+channel_ip_app",0.393223500155424,767,1907,45,498,0.393223500155424
"36",0,1,"Logistic Regression","ip+app+os+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.854211998756606,2628,46,423,120,0.854211998756606
"37",0,1,"LDA","ip+app+os+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.849549269505751,2606,68,416,127,0.849549269505751
"38",0,1,"QDA","ip+app+os+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.753807895554865,2145,529,263,280,0.753807895554865
"39",0,1,"SVM","ip+app+os+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.852346907056264,2630,44,431,112,0.852346907056264
"40",0,1,"NaiveBayes","ip+app+os+channel+ip_app+channel_app+channel_ip+channel_ip_app",0.789866335094809,2312,362,314,229,0.789866335094809
"41",0,2,"Logistic Regression","channel_ip",0.986216540151818,0,69,0,4937,0.986216540151818
"42",0,2,"LDA","channel_ip",0.986216540151818,0,69,0,4937,0.986216540151818
"43",0,2,"QDA","channel_ip",0.986216540151818,0,69,0,4937,0.986216540151818
"44",0,2,"SVM","channel_ip",0.986216540151818,0,69,0,4937,0.986216540151818
"45",0,2,"NaiveBayes","channel_ip",0.986216540151818,0,69,0,4937,0.986216540151818
"46",0,2,"Logistic Regression","app+ip_app",0.986815821014782,4,65,1,4936,0.986815821014782
"47",0,2,"LDA","app+ip_app",0.970435477427087,20,49,99,4838,0.970435477427087
"48",0,2,"QDA","app+ip_app",0.972433080303636,18,51,87,4850,0.972433080303636
"49",0,2,"SVM","app+ip_app",0.986216540151818,0,69,0,4937,0.986216540151818
