"","file","branch","model","predictors","accuracy","TP","FN","FP","TN","accuracy_cMatrix"
"49",0,2,"SVM","app+ip_app",0.986216540151818,69,0,4937,0,0.986216540151818
"50",0,2,"NaiveBayes","app+ip_app",0.0137834598481822,0,69,0,4937,0.0137834598481822
"51",0,2,"Logistic Regression","app+device+ip_app",0.986815821014782,65,4,4936,1,0.986815821014782
"52",0,2,"LDA","app+device+ip_app",0.976028765481422,54,15,4871,66,0.976028765481422
"53",0,2,"QDA","app+device+ip_app",0.987015581302437,64,5,4936,1,0.987015581302437
"54",0,2,"SVM","app+device+ip_app",0.986616060727127,67,2,4937,0,0.986616060727127
"55",0,2,"NaiveBayes","app+device+ip_app",0.0137834598481822,0,69,0,4937,0.0137834598481822
"56",0,2,"Logistic Regression","device+ip_app+channel_app+channel_ip",0.986815821014782,66,3,4937,0,0.986815821014782
"57",0,2,"LDA","device+ip_app+channel_app+channel_ip",0.972233320015981,50,19,4848,89,0.972233320015981
"58",0,2,"QDA","device+ip_app+channel_app+channel_ip",0.983020375549341,58,11,4910,27,0.983020375549341
"59",0,2,"SVM","device+ip_app+channel_app+channel_ip",0.986616060727127,67,2,4937,0,0.986616060727127
"60",0,2,"NaiveBayes","device+ip_app+channel_app+channel_ip",0.0137834598481822,0,69,0,4937,0.0137834598481822
"61",0,2,"Logistic Regression","device+os+ip_app+channel_app+channel_ip",0.986815821014782,66,3,4937,0,0.986815821014782
"62",0,2,"LDA","device+os+ip_app+channel_app+channel_ip",0.970834998002397,49,20,4840,97,0.970834998002397
"63",0,2,"QDA","device+os+ip_app+channel_app+channel_ip",0.981821813823412,57,12,4903,34,0.981821813823412
"64",0,2,"SVM","device+os+ip_app+channel_app+channel_ip",0.986616060727127,67,2,4937,0,0.986616060727127
"65",0,2,"NaiveBayes","device+os+ip_app+channel_app+channel_ip",0.0137834598481822,0,69,0,4937,0.0137834598481822
"66",0,2,"Logistic Regression","ip+device+os+channel+channel_app+channel_ip_app",0.986815821014782,66,3,4937,0,0.986815821014782
"67",0,2,"LDA","ip+device+os+channel+channel_app+channel_ip_app",0.970635237714742,49,20,4839,98,0.970635237714742
"68",0,2,"SVM","ip+device+os+channel+channel_app+channel_ip_app",0.986616060727127,67,2,4937,0,0.986616060727127
"69",0,2,"NaiveBayes","ip+device+os+channel+channel_app+channel_ip_app",0.0137834598481822,0,69,0,4937,0.0137834598481822
"70",0,2,"Logistic Regression","ip+app+device+os+channel+channel_ip+channel_ip_app",0.986815821014782,66,3,4937,0,0.986815821014782
"71",0,2,"LDA","ip+app+device+os+channel+channel_ip+channel_ip_app",0.970435477427087,49,20,4838,99,0.970435477427087
"72",0,2,"SVM","ip+app+device+os+channel+channel_ip+channel_ip_app",0.986616060727127,67,2,4937,0,0.986616060727127
"73",0,2,"NaiveBayes","ip+app+device+os+channel+channel_ip+channel_ip_app",0.0137834598481822,0,69,0,4937,0.0137834598481822
"74",0,2,"Logistic Regression","ip+app+device+os+channel+hour+ip_app+channel_ip",0.986815821014782,66,3,4937,0,0.986815821014782
"75",0,2,"LDA","ip+app+device+os+channel+hour+ip_app+channel_ip",0.969436675988813,49,20,4833,104,0.969436675988813
"76",0,2,"SVM","ip+app+device+os+channel+hour+ip_app+channel_ip",0.986616060727127,67,2,4937,0,0.986616060727127
"77",0,2,"NaiveBayes","ip+app+device+os+channel+hour+ip_app+channel_ip",0.0137834598481822,0,69,0,4937,0.0137834598481822
"78",0,3,"Logistic Regression","ip",0.849225236659792,0,32116,0,5702,0.849225236659792
"79",0,3,"LDA","ip",0.849225236659792,0,32116,0,5702,0.849225236659792
"80",0,3,"QDA","ip",0.844809350044952,625,31491,458,5244,0.844809350044952
"81",0,3,"SVM","ip",0.849225236659792,0,32116,0,5702,0.849225236659792
"82",0,3,"NaiveBayes","ip",0.849225236659792,0,32116,0,5702,0.849225236659792
"83",0,3,"Logistic Regression","ip+app",0.849225236659792,0,32116,0,5702,0.849225236659792
"84",0,3,"LDA","ip+app",0.849225236659792,0,32116,0,5702,0.849225236659792
"85",0,3,"QDA","ip+app",0.84533819874134,595,31521,448,5254,0.84533819874134
"86",0,3,"SVM","ip+app",0.849225236659792,0,32116,0,5702,0.849225236659792
"87",0,3,"NaiveBayes","ip+app",0.849225236659792,0,32116,0,5702,0.849225236659792
"88",0,3,"Logistic Regression","ip+app+os",0.849225236659792,0,32116,0,5702,0.849225236659792
"89",0,3,"LDA","ip+app+os",0.849225236659792,0,32116,0,5702,0.849225236659792
"90",0,3,"QDA","ip+app+os",0.838463165688297,1026,31090,619,5083,0.838463165688297
"91",0,3,"SVM","ip+app+os",0.849225236659792,0,32116,0,5702,0.849225236659792
"92",0,3,"NaiveBayes","ip+app+os",0.849225236659792,0,32116,0,5702,0.849225236659792
"93",0,3,"Logistic Regression","ip+app+os+hour",0.849225236659792,0,32116,0,5702,0.849225236659792
"94",0,3,"LDA","ip+app+os+hour",0.849225236659792,0,32116,0,5702,0.849225236659792
"95",0,3,"QDA","ip+app+os+hour",0.838040086731186,1047,31069,624,5078,0.838040086731186
"96",0,3,"SVM","ip+app+os+hour",0.849225236659792,0,32116,0,5702,0.849225236659792
"97",0,3,"NaiveBayes","ip+app+os+hour",0.849225236659792,0,32116,0,5702,0.849225236659792
"98",0,3,"Logistic Regression","ip+app+os+hour+ip_app",0.849225236659792,0,32116,0,5702,0.849225236659792
"99",0,3,"LDA","ip+app+os+hour+ip_app",0.849225236659792,0,32116,0,5702,0.849225236659792
"100",0,3,"QDA","ip+app+os+hour+ip_app",0.803744248770427,2876,29240,1156,4546,0.803744248770427
"101",0,3,"SVM","ip+app+os+hour+ip_app",0.849225236659792,0,32116,0,5702,0.849225236659792
"102",0,3,"NaiveBayes","ip+app+os+hour+ip_app",0.849225236659792,0,32116,0,5702,0.849225236659792
"103",0,3,"Logistic Regression","ip+app+os+channel+hour+channel_ip",0.849225236659792,0,32116,0,5702,0.849225236659792
"104",0,3,"LDA","ip+app+os+channel+hour+channel_ip",0.849225236659792,0,32116,0,5702,0.849225236659792
"105",0,3,"QDA","ip+app+os+channel+hour+channel_ip",0.813871701306256,2414,29702,1077,4625,0.813871701306256
"106",0,3,"SVM","ip+app+os+channel+hour+channel_ip",0.849225236659792,0,32116,0,5702,0.849225236659792
"107",0,3,"NaiveBayes","ip+app+os+channel+hour+channel_ip",0.849225236659792,0,32116,0,5702,0.849225236659792
"108",0,3,"Logistic Regression","ip+app+os+channel+hour+ip_app+channel_ip",0.849225236659792,0,32116,0,5702,0.849225236659792
"109",0,3,"LDA","ip+app+os+channel+hour+ip_app+channel_ip",0.849225236659792,0,32116,0,5702,0.849225236659792
"110",0,3,"QDA","ip+app+os+channel+hour+ip_app+channel_ip",0.792585541276641,3550,28566,1408,4294,0.792585541276641
"111",0,3,"SVM","ip+app+os+channel+hour+ip_app+channel_ip",0.849225236659792,0,32116,0,5702,0.849225236659792
"112",0,3,"NaiveBayes","ip+app+os+channel+hour+ip_app+channel_ip",0.849225236659792,0,32116,0,5702,0.849225236659792
"113",0,3,"Logistic Regression","ip+app+device+os+channel+hour+ip_app+channel_ip",0.849225236659792,0,32116,0,5702,0.849225236659792
"114",0,3,"LDA","ip+app+device+os+channel+hour+ip_app+channel_ip",0.849225236659792,0,32116,0,5702,0.849225236659792
"115",0,3,"QDA","ip+app+device+os+channel+hour+ip_app+channel_ip",0.224284732138135,29229,2887,5595,107,0.224284732138135
"116",0,3,"SVM","ip+app+device+os+channel+hour+ip_app+channel_ip",0.849225236659792,0,32116,0,5702,0.849225236659792
"117",0,3,"NaiveBayes","ip+app+device+os+channel+hour+ip_app+channel_ip",0.849225236659792,0,32116,0,5702,0.849225236659792
"118",0,4,"Logistic Regression","ip",0.986873728970235,142,0,10676,0,0.986873728970235
"119",0,4,"LDA","ip",0.986873728970235,142,0,10676,0,0.986873728970235
"120",0,4,"QDA","ip",0.986873728970235,142,0,10676,0,0.986873728970235
"121",0,4,"SVM","ip",0.986873728970235,142,0,10676,0,0.986873728970235
"122",0,4,"NaiveBayes","ip",0.0131262710297652,0,142,0,10676,0.0131262710297652
"123",0,4,"Logistic Regression","ip+channel",0.986873728970235,142,0,10676,0,0.986873728970235
"124",0,4,"LDA","ip+channel",0.986873728970235,142,0,10676,0,0.986873728970235
"125",0,4,"QDA","ip+channel",0.986873728970235,142,0,10676,0,0.986873728970235
"126",0,4,"SVM","ip+channel",0.986873728970235,142,0,10676,0,0.986873728970235
"127",0,4,"NaiveBayes","ip+channel",0.0131262710297652,0,142,0,10676,0.0131262710297652
"128",0,4,"Logistic Regression","ip+channel_app+channel_ip",0.986873728970235,142,0,10676,0,0.986873728970235
"129",0,4,"LDA","ip+channel_app+channel_ip",0.986873728970235,142,0,10676,0,0.986873728970235
"130",0,4,"QDA","ip+channel_app+channel_ip",0.985764466629691,142,0,10664,12,0.985764466629691
"131",0,4,"SVM","ip+channel_app+channel_ip",0.986873728970235,142,0,10676,0,0.986873728970235
"132",0,4,"NaiveBayes","ip+channel_app+channel_ip",0.0131262710297652,0,142,0,10676,0.0131262710297652
"133",0,4,"Logistic Regression","ip+device+channel+channel_ip_app",0.986873728970235,142,0,10676,0,0.986873728970235
